ID;Name;Email;Password;Role;Kota;Location
1;Palmerah;123@gmail.com;majubersama;admin;Jakarta Barat;-
2;Nellanvoli;123@gmail.com;majubersama;admin;Jakarta Barat;-
3;Anggrek;123@gmail.com;majubersama;admin;Jakarta Barat;-
4;Cagar Alam;234@gmail.com;majubersama;admin;Depok;-
5;Pitara;234@gmail.com;majubersama;admin;Depok;-
6;Sanim Tanah Baru;234@gmail.com;majubersama;admin;Depok;-
7;Patung Gajah;234@gmail.com;majubersama;admin;Depok;-
8;Cagar Alam 2;234@gmail.com;majubersama;admin;Depok;-
9;Pondok Terong;234@gmail.com;majubersama;admin;Depok;-
10;Keadilan;234@gmail.com;majubersama;admin;Depok;-
11;Greperi (Keradenan);234@gmail.com;majubersama;admin;Bogor;-
12;CS Digital;999@gmail.com;bigbossnih;superadmin;Bandung;-
13;Sesetan;345@gmail.com;majubersama;admin;Denpasar;-
14;Komodo;345@gmail.com;majubersama;admin;Denpasar;-
15;Rinjani;345@gmail.com;majubersama;admin;Denpasar;-
16;Nonstop Laundry;345@gmail.com;majubersama;admin;Denpasar;-
17;Malaka;456@gmail.com;majubersama;admin;Jakarta Timur;-
18;Emam Pondok Kelapa;456@gmail.com;majubersama;admin;Jakarta Timur;-
19;Bintara;456@gmail.com;majubersama;admin;Jakarta Timur;-
20;Pondok Ungu;567@gmail.com;majubersama;admin;Bekasi;
21;Gongseng;567@gmail.com;majubersama;admin;Jakarta Timur;
22;Lavana;567@gmail.com;majubersama;admin;Bekasi;
23;Pondok Kelapa;567@gmail.com;majubersama;admin;Jakarta Timur;
24;Gongseng 2;567@gmail.com;majubersama;admin;Jakarta Timur;
25;Vasaka;567@gmail.com;majubersama;admin;Jakarta Selatan;
26;Tegal Parang;567@gmail.com;majubersama;admin;Jakarta Selatan;
27;Asem Baris;567@gmail.com;majubersama;admin;Jakarta Selatan;
28;Kuningan Barat;567@gmail.com;majubersama;admin;Jakarta Selatan;
29;Kramat Sentiong;678@gmail.com;majubersama;admin;Jakarta Pusat;
30;Sisingamaraja;789@gmail.com;majubersama;admin;Jogjakarta;
31;Condong Catur;789@gmail.com;majubersama;admin;Jogjakarta;
32;Laundry Klin;890@gmail.com;majubersama;admin;Jakarta Selatan;
33;Everyday Laundry;901@gmail.com;majubersama;admin;Cikarang;
34;Qiuqiu Laundry;019@gmail.com;majubersama;admin;Denpasar;
35;Joyogrand;192@gmail.com;majubersama;admin;Malang;
36;Sulfat;192@gmail.com;majubersama;admin;Malang;
